Alat:   5.74000
Crystal Vectors:
  1.000000  0.000000  0.000000
  0.000000  1.000000  0.000000
  0.000000  0.000000  1.000000
Fe                0.000000  0.000000  0.000000
Fe                0.250000  0.250000  0.250000
Fe                0.000000  0.000000  0.500000
Fe                0.250000  0.250000  0.750000
Fe                0.000000  0.500000  0.000000
Fe                0.250000  0.750000  0.250000
Fe                0.000000  0.500000  0.500000
Fe                0.250000  0.750000  0.750000
Fe                0.500000  0.000000  0.000000
Fe                0.750000  0.250000  0.250000
Fe                0.500000  0.000000  0.500000
Fe                0.750000  0.250000  0.750000
Fe                0.500000  0.500000  0.000000
Fe                0.750000  0.750000  0.250000
Fe                0.500000  0.500000  0.500000
Fe                0.750000  0.750000  0.750000
